Table,Table_Source,Table_Description,Field,Description,Order
_compound_enzyme,FooDB,Represents the relationship between compounds and enzymes.,ID_Comp_Enzyme,Represents the primary key for the table _compound_enzyme,1
_compound_enzyme,FooDB,Represents the relationship between compounds and enzymes.,ID_Compound,Represents the link with the master_compound table,2
_compound_enzyme,FooDB,Represents the relationship between compounds and enzymes.,ID_Enzyme,Represents the link with the master_enzyme table,3
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,ID_Comp_Ext_Ref,Represents the primary key for the table _compound_external_references,1
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,ID_Compound,Represents the link with the master_compound table,2
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,kegg_compound_id,"Represents the ID for the compound at KEGG: https://www.genome.jp/kegg/, more info at: https://en.wikipedia.org/wiki/KEGG",3
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,pubchem_compound_id,"Represents the ID for the compound at Pubchen: https://pubchem.ncbi.nlm.nih.gov/, more info at: https://en.wikipedia.org/wiki/PubChem",4
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,pubchem_substance_id,"Represents the ID for the substance at Pubchen: https://pubchem.ncbi.nlm.nih.gov/, more info at: https://en.wikipedia.org/wiki/PubChem",5
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,chebi_id,"Represents the ID for the compound at CHEBI: https://www.ebi.ac.uk/chebi/, more info at: https://en.wikipedia.org/wiki/ChEBI",6
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,het_id,Represents the ID for the compound at: http://www.wwpdb.org/data/ccd,7
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,uniprot_id,"Represents the ID for the compound at UniProt: http://www.uniprot.org/ , more info at: https://en.wikipedia.org/wiki/UniProt",8
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,uniprot_name,"Represents the ID for the compound at  UniProt: http://www.uniprot.org/, more info at: https://en.wikipedia.org/wiki/UniProt",9
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,genbank_id,"Represents the ID for the compound at Genbank: https://www.ncbi.nlm.nih.gov/genbank/?, more info at:  https://en.wikipedia.org/wiki/GenBank",10
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,wikipedia_id,Represents the ID for the compound at Wikipedia: https://en.wikipedia.org/wiki/Wikipedia,11
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,phenolexplorer_id,"Represents the ID for the compound at: http://phenol-explorer.eu/ , more info at: https://en.wikipedia.org/wiki/Phenol-Explorer",12
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,dfc_id,Represents the ID for the compound at the Dictionary Food Components: http://dfc.chemnetbase.com/faces/chemical/ChemicalSearch.xhtml,13
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,hmdb_id,"Represents the ID for the compound at: http://www.hmdb.ca/ , more info at: https://en.wikipedia.org/wiki/Human_Metabolome_Database",14
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,duke_id,Represents the ID for the compound at DUKE: https://phytochem.nal.usda.gov/phytochem/search,15
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,drugbank_id,"Represents the ID for the compound at Drugbank: https://www.drugbank.ca/ , more info at: https://en.wikipedia.org/wiki/DrugBank",16
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,bigg_id,Represents the ID for the compound at: http://bigg.ucsd.edu/,17
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,eafus_id,Represents the ID for the compound at Everything Added to Food in the United States (EAFUS): https://www.accessdata.fda.gov/scripts/fcn/fcnNavigation.cfm?rpt=eafusListing,18
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,knapsack_id,Represents the ID for the compound at: http://kanaya.naist.jp/KNApSAcK/,19
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,moldb_id,Represents the ID for the compound at http://merian.pch.univie.ac.at/~nhaider/cheminf/moldb6doc.html,20
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,old_dfc_id,Represents the old ID for the compound at data food dictionary  http://dfc.chemnetbase.com/faces/chemical/ChemicalSearch.xhtml,21
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,flavornet_id,Represents the ID for the compound at: http://www.flavornet.org/,22
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,goodscent_id,Represents the ID for the compound at: http://www.thegoodscentscompany.com/,23
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,superscent_id,"Represents the ID for the compound at: http://bioinf-applied.charite.de/superscent/ , more info at: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2686498/",24
_compound_external_references,FooDB,Represents the external references for diverse database of the compound,phenolexplorer_metabolite_id,Represents the ID for the compound at : http://phenol-explorer.eu/ ,25
